                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1899,                 7.7397,                  4.107,                0.14598,                0.08084,                0.09026,                0.04716,                  4.249,                 4.9898,                 3.9585,              0.0033081,              0.0033081,              0.0033081
                      2,                 2.5018,                 4.1541,                 2.7592,                0.41649,                0.44239,                0.30565,                0.14876,                 1.9106,                 3.0116,                 2.2314,              0.0066283,              0.0066283,              0.0066283
                      3,                 1.6662,                 2.5669,                 1.7648,                0.11842,                0.66264,                0.11605,                 0.0541,                 1.7123,                 18.252,                 2.0298,              0.0099352,              0.0099352,              0.0099352
                      4,                 1.4322,                 1.9578,                 1.4508,                0.87785,                0.77658,                0.85224,                0.54053,                 1.2141,                 1.3698,                 1.3959,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2972,                 1.5027,                 1.3107,                0.86212,                0.82788,                 0.8829,                0.60053,                 1.0847,                0.86564,                 1.2527,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.2145,                  1.257,                  1.245,                0.85247,                0.85334,                0.90679,                0.62772,                 1.0433,                0.71392,                 1.2268,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1657,                 1.0877,                 1.2001,                0.86459,                 0.8415,                0.90534,                0.62004,                  1.092,                0.72953,                 1.2437,               0.009901,               0.009901,               0.009901
                      8,                 1.1003,                 0.9718,                 1.1749,                0.86371,                0.85614,                0.90951,                0.65585,                0.96532,                0.67309,                 1.1698,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.063,                0.85843,                 1.1523,                0.87891,                0.87778,                0.93389,                0.66572,                0.98814,                0.61265,                 1.1802,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.0553,                0.79612,                 1.1357,                0.84846,                0.88741,                0.91856,                0.63544,                 1.0067,                0.62477,                 1.1575,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0319,                0.75753,                 1.1247,                 0.8936,                0.86442,                0.93716,                0.68626,                0.92919,                0.56114,                 1.1447,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0024,                0.70924,                 1.1145,                0.88638,                0.90325,                0.94805,                0.69858,                0.91625,                0.55054,                  1.124,               0.009802,               0.009802,               0.009802
                     13,                0.98784,                0.66919,                 1.1027,                0.90055,                0.91076,                0.95237,                0.69698,                0.91572,                0.55069,                 1.1414,              0.0097822,              0.0097822,              0.0097822
                     14,                0.96876,                0.65388,                 1.0922,                0.89763,                 0.8875,                0.94231,                0.69637,                 0.8978,                0.60266,                 1.1083,              0.0097624,              0.0097624,              0.0097624
                     15,                0.96287,                0.63393,                 1.0911,                0.87747,                0.92171,                0.95402,                0.71953,                0.85919,                0.49033,                 1.0889,              0.0097426,              0.0097426,              0.0097426
                     16,                 0.9509,                0.60771,                 1.0787,                0.89289,                0.91216,                0.95335,                0.72274,                0.86243,                0.49153,                 1.0952,              0.0097228,              0.0097228,              0.0097228
                     17,                0.94373,                0.59093,                 1.0702,                0.89881,                0.91725,                0.95708,                0.71072,                0.88508,                0.50404,                 1.1098,               0.009703,               0.009703,               0.009703
                     18,                0.94481,                0.59292,                 1.0779,                0.90754,                0.91215,                 0.9576,                0.71897,                0.85029,                0.48275,                 1.0814,              0.0096832,              0.0096832,              0.0096832
                     19,                0.93703,                0.58348,                 1.0636,                0.91402,                0.90003,                0.95771,                0.71929,                0.85785,                0.48483,                 1.0794,              0.0096634,              0.0096634,              0.0096634
                     20,                0.91027,                0.55377,                 1.0554,                0.87723,                0.88542,                 0.9347,                0.68477,                0.88075,                0.55595,                 1.0976,              0.0096436,              0.0096436,              0.0096436
                     21,                0.91891,                0.55814,                 1.0575,                0.89982,                0.91407,                0.95587,                0.73329,                0.83897,                0.47323,                 1.0678,              0.0096238,              0.0096238,              0.0096238
                     22,                0.91037,                0.56724,                 1.0599,                0.88587,                0.92886,                0.96157,                0.73434,                 0.8387,                0.47224,                 1.0653,               0.009604,               0.009604,               0.009604
                     23,                0.88803,                0.52982,                 1.0447,                0.89325,                0.92143,                0.95941,                0.73587,                0.83926,                0.47006,                 1.0662,              0.0095842,              0.0095842,              0.0095842
                     24,                0.88264,                0.52816,                 1.0374,                0.88624,                0.89752,                0.94379,                0.71878,                0.84996,                0.51419,                 1.0698,              0.0095644,              0.0095644,              0.0095644
                     25,                0.87835,                 0.5176,                 1.0494,                0.89628,                0.92956,                0.96101,                0.73668,                0.84131,                0.46592,                 1.0716,              0.0095446,              0.0095446,              0.0095446
                     26,                0.88087,                0.51148,                 1.0429,                0.89812,                0.93149,                0.96332,                0.74139,                 0.8178,                0.44175,                 1.0537,              0.0095248,              0.0095248,              0.0095248
                     27,                0.87673,                0.50937,                 1.0383,                  0.889,                0.86123,                0.93085,                0.70954,                0.83812,                0.52511,                 1.0601,               0.009505,               0.009505,               0.009505
                     28,                0.86213,                 0.4996,                 1.0344,                0.91033,                0.90516,                0.96291,                0.74628,                0.82055,                0.43691,                 1.0446,              0.0094852,              0.0094852,              0.0094852
                     29,                0.86477,                 0.5041,                 1.0396,                  0.897,                0.93635,                0.96528,                0.74107,                0.81507,                0.45033,                 1.0656,              0.0094654,              0.0094654,              0.0094654
                     30,                0.85877,                0.50016,                 1.0291,                0.90108,                0.92743,                0.96084,                0.74214,                0.82125,                0.44765,                 1.0515,              0.0094456,              0.0094456,              0.0094456
                     31,                0.84777,                0.49376,                 1.0178,                0.89464,                0.91342,                 0.9556,                0.73804,                0.83345,                0.45858,                 1.0566,              0.0094258,              0.0094258,              0.0094258
                     32,                0.85291,                0.49232,                 1.0194,                0.90444,                0.93125,                0.96519,                 0.7456,                0.81239,                0.43633,                 1.0472,               0.009406,               0.009406,               0.009406
                     33,                0.84514,                0.47478,                 1.0255,                 0.9074,                0.94208,                0.96928,                0.75285,                0.80147,                0.41843,                 1.0455,              0.0093862,              0.0093862,              0.0093862
                     34,                0.84839,                0.48918,                 1.0251,                0.90328,                0.91553,                0.96238,                0.74151,                0.81333,                0.43493,                 1.0433,              0.0093664,              0.0093664,              0.0093664
                     35,                0.84318,                0.47796,                 1.0161,                0.90676,                0.91612,                0.96426,                0.74738,                 0.8095,                0.44445,                 1.0501,              0.0093466,              0.0093466,              0.0093466
                     36,                0.83591,                0.47141,                  1.016,                0.90314,                0.93889,                0.96474,                0.75323,                0.79355,                0.42316,                 1.0352,              0.0093268,              0.0093268,              0.0093268
